model,submodel,quality,type,stop,diagnosis,fix-scrapping
1000,0.02,3,B,6182,6374,1
1000,0.02,5,B,29932,29999,0
1000,0.02,1,A,1164,1771,0
1000,0.02,3,B,6745,6911,0
1000,0.02,4,A,405,490,1
1000,0.02,4,B,5679,5778,0
1000,0.02,1,B,507,926,0
1000,0.02,1,B,816,1643,0
1000,0.02,0,A,452,1213,0
1000,0.02,3,A,870,1078,1
1000,0.02,2,A,155,584,0
1000,0.02,3,A,843,1252,0
1000,0.02,2,A,279,563,0
1000,0.02,0,A,1102,2050,0
1000,0.02,0,A,844,2389,1
1000,0.02,1,B,85,1059,0
1000,0.02,4,B,10667,10741,0
1000,0.02,5,B,5923,5992,0
1000,0.02,0,A,138,1270,0
1000,0.02,0,B,220,1148,0
1000,0.02,3,B,206,504,0
1000,0.02,1,A,87,1176,0
1000,0.02,0,A,42,681,0
1000,0.02,5,A,49506,49532,0
1000,0.02,0,B,451,1996,0
1000,0.02,1,A,415,1275,0
1000,0.02,3,A,1372,1594,0
1000,0.02,0,B,925,2577,0
1000,0.02,5,B,16900,16965,0
1000,0.02,1,A,350,1206,0
1000,0.02,3,B,2474,2629,0
1000,0.02,5,B,6857,6925,1
1000,0.02,0,A,799,1408,0
1000,0.02,3,A,2674,2869,0
1000,0.02,0,B,3461,4097,0
1000,0.02,3,A,1474,1921,0
1000,0.02,5,A,21099,21138,0
1000,0.02,3,A,2144,2560,0
1000,0.02,4,B,15020,15109,1
1000,0.02,4,B,16614,16675,1
1000,0.02,2,A,1851,2320,0
1000,0.02,1,B,507,905,0
1000,0.02,3,B,18317,18439,0
1000,0.02,5,A,4636,4687,0
1000,0.02,5,B,6450,6477,0
1000,0.02,2,A,454,872,0
1000,0.02,3,A,1994,2314,0
1000,0.02,4,B,1684,1799,0
1000,0.02,2,B,2314,2668,0
1000,0.02,5,A,10279,10306,0
1000,0.02,5,A,1896,1950,1
1000,0.02,5,B,11875,11906,0
1000,0.02,5,B,336,363,0
1000,0.02,5,A,10413,10468,0
1000,0.02,0,B,363,1956,0
1000,0.02,4,B,13211,13268,0
1000,0.02,0,A,253,1724,0
1000,0.02,2,A,2484,3034,0
1000,0.02,5,A,5899,5962,1
1000,0.02,1,B,386,1303,0
1000,0.02,4,A,717,861,0
1000,0.02,3,B,5752,6038,0
1000,0.02,0,B,508,2240,0
1000,0.02,4,A,6038,6093,0
1000,0.02,3,B,1377,1531,1
1000,0.02,1,B,730,1255,1
1000,0.02,5,A,17595,17643,1
1000,0.02,4,A,18890,18958,0
1000,0.02,4,B,1966,2045,1
1000,0.02,0,A,392,1431,0
1000,0.02,5,B,6991,7063,0
1000,0.02,0,B,32,1684,0
1000,0.02,0,B,1027,1836,1
1000,0.02,3,A,6305,6466,1
1000,0.02,3,B,4821,4973,1
1000,0.02,3,A,812,1251,0
1000,0.02,2,B,1320,1735,0
1000,0.02,2,B,7947,8198,0
1000,0.02,1,B,1037,2009,0
1000,0.02,1,B,479,1500,0
1000,0.02,1,A,145,1055,0
1000,0.02,1,B,2791,3303,0
1000,0.02,0,B,80,1296,0
1000,0.02,0,B,80,1113,0
1000,0.02,1,A,994,1869,0
1000,0.02,2,B,11228,11793,0
1000,0.02,0,B,328,1156,0
1000,0.02,1,B,888,1315,0
1000,0.02,2,A,2551,3094,0
1000,0.02,5,A,26913,26959,0
1000,0.02,4,A,14194,14336,0
1000,0.02,3,B,2600,2765,0
1000,0.02,1,B,461,937,0
1000,0.02,2,A,626,1297,0
1000,0.02,4,B,545,646,0
1000,0.02,3,B,225,431,0
1000,0.02,4,B,236,302,1
1000,0.02,4,A,4220,4359,1
1000,0.02,1,B,960,1986,0
